disease_id,icd_code,icd_to_display,category
1,A00,A00-Cholera,Intestinal infectious diseases
2,A01,A01-Typhoid and paratyphoid fevers,Intestinal infectious diseases
3,A02,A02-Other salmonella infections,Intestinal infectious diseases
4,A03,A03-Shigellosis,Intestinal infectious diseases
5,A04,A04-Other bacterial intestinal infections,Intestinal infectious diseases
6,A05,"A05-Other bacterial foodborne intoxications, not elsewhere classified",Intestinal infectious diseases
7,A06,A06-Amoebiasis,Intestinal infectious diseases
8,A07,A07-Other protozoal intestinal diseases,Intestinal infectious diseases
9,A08,A08-Viral and other specified intestinal infections,Intestinal infectious diseases
10,A09,A09-Other gastroenteritis and colitis of infectious and unspecified origin,Intestinal infectious diseases
11,A15,"A15-Respiratory tuberculosis, bacteriologically and histologically confirmed",Tuberculosis
12,A16,"A16-Respiratory tuberculosis, not confirmed bacteriologically or histologically",Tuberculosis
13,A17,A17-Tuberculosis of nervous system,Tuberculosis
14,A18,A18-Tuberculosis of other organs,Tuberculosis
15,A19,A19-Miliary tuberculosis,Tuberculosis
16,A20,A20-Plague,Certain zoonotic bacterial diseases
17,A21,A21-Tularaemia,Certain zoonotic bacterial diseases
18,A22,A22-Anthrax,Certain zoonotic bacterial diseases
19,A23,A23-Brucellosis,Certain zoonotic bacterial diseases
20,A24,A24-Glanders and melioidosis,Certain zoonotic bacterial diseases
21,A25,A25-Rat-bite fevers,Certain zoonotic bacterial diseases
22,A26,A26-Erysipeloid,Certain zoonotic bacterial diseases
23,A27,A27-Leptospirosis,Certain zoonotic bacterial diseases
24,A28,"A28-Other zoonotic bacterial diseases, not elsewhere classified",Certain zoonotic bacterial diseases
25,A30,A30-Leprosy [Hansen disease],Certain infectious and parasitic diseases
26,A31,A31-Infection due to other mycobacteria,Certain infectious and parasitic diseases
27,A32,A32-Listeriosis,Certain infectious and parasitic diseases
28,A33,A33-Tetanus neonatorum,Certain infectious and parasitic diseases
29,A34,A34-Obstetrical tetanus,Certain infectious and parasitic diseases
30,A35,A35-Other tetanus,Certain infectious and parasitic diseases
31,A36,A36-Diphtheria,Certain infectious and parasitic diseases
32,A37,A37-Whooping cough,Certain infectious and parasitic diseases
33,A38,A38-Scarlet fever,Certain infectious and parasitic diseases
34,A39,A39-Meningococcal infection,Certain infectious and parasitic diseases
35,A40,A40-Streptococcal sepsis,Certain infectious and parasitic diseases
36,A41,A41-Other sepsis,Certain infectious and parasitic diseases
37,A42,A42-Actinomycosis,Certain infectious and parasitic diseases
38,A43,A43-Nocardiosis,Certain infectious and parasitic diseases
39,A44,A44-Bartonellosis,Certain infectious and parasitic diseases
40,A46,A46-Erysipelas,Certain infectious and parasitic diseases
41,A48,A48-Other bacterial diseases not elsewhere classified,Certain infectious and parasitic diseases
42,A49,A49-Bacterial infection of unspecified site,Certain infectious and parasitic diseases
43,A50,A50-Congenital syphilis,Certain infectious and parasitic diseases
44,A51,A51-Early syphilis,Certain infectious and parasitic diseases
45,A52,A52-Late syphilis,Certain infectious and parasitic diseases
46,A53,A53-Other and unspecified syphilis,Certain infectious and parasitic diseases
47,A54,A54-Gonococcal infection,Certain infectious and parasitic diseases
48,A55,A55-Chlamydial lymphogranuloma (venereum),Certain infectious and parasitic diseases
49,A56,A56-Other sexually transmitted chlamydial diseases,Certain infectious and parasitic diseases
50,A57,A57-Chancroid,Certain infectious and parasitic diseases
51,A58,A58-Granuloma inguinale,Certain infectious and parasitic diseases
52,A59,A59-Trichomoniasis,Certain infectious and parasitic diseases
53,A60,A60-Anogenital herpesviral [herpes simplex] infection,Certain infectious and parasitic diseases
54,A63,"A63-Other predominantly sexually transmitted diseases, not elsewhere classified",Certain infectious and parasitic diseases
55,A64,A64-Unspecified sexually transmitted disease,Certain infectious and parasitic diseases
56,A65,A65-Nonvenereal syphilis,Certain infectious and parasitic diseases
57,A66,A66-Yaws,Certain infectious and parasitic diseases
58,A67,A67-Pinta [carate],Certain infectious and parasitic diseases
59,A68,A68-Relapsing fevers,Certain infectious and parasitic diseases
60,A69,A69-Other spirochaetal infections,Certain infectious and parasitic diseases
61,A70,A70-Chlamydia psittaci infection,Certain infectious and parasitic diseases
62,A71,A71-Trachoma,Certain infectious and parasitic diseases
63,A74,A74-Other diseases caused by chlamydiae,Certain infectious and parasitic diseases
64,A75,A75-Typhus fever,Certain infectious and parasitic diseases
65,A77,A77-Spotted fever [tick-borne rickettsioses],Certain infectious and parasitic diseases
66,A78,A78-Q fever,Certain infectious and parasitic diseases
67,A79,A79-Other rickettsioses,Certain infectious and parasitic diseases
68,A80,A80-Acute poliomyelitis,Certain infectious and parasitic diseases
69,A81,A81-Atypical virus infections of central nervous system,Certain infectious and parasitic diseases
70,A82,A82-Rabies,Certain infectious and parasitic diseases
71,A83,A83-Mosquito-borne viral encephalitis,Certain infectious and parasitic diseases
72,A84,A84-Tick-borne viral encephalitis,Certain infectious and parasitic diseases
73,A85,"A85-Other viral encephalitis, not elsewhere classified",Certain infectious and parasitic diseases
74,A86,A86-Unspecified viral encephalitis,Certain infectious and parasitic diseases
75,A87,A87-Viral meningitis,Certain infectious and parasitic diseases
76,A88,"A88-Other viral infections of central nervous system, not elsewhere classified",Certain infectious and parasitic diseases
77,A89,A89-Unspecified viral infection of central nervous system,Certain infectious and parasitic diseases
78,A90,A90-Dengue fever,Certain infectious and parasitic diseases
79,A91,A91-Dengue haemorrhagic fever,Certain infectious and parasitic diseases
80,A92,A92-Other mosquito-borne viral fevers,Certain infectious and parasitic diseases
81,A93,"A93-Other arthropod-borne viral fevers, not elsewhere classified",Certain infectious and parasitic diseases
82,A94,A94-Unspecified arthropod-borne viral fever,Certain infectious and parasitic diseases
83,A95,A95-Yellow fever,Certain infectious and parasitic diseases
84,A96,A96-Arenaviral haemorrhagic fever,Certain infectious and parasitic diseases
85,A97,A97-Dengue,Certain infectious and parasitic diseases
86,A98,"A98-Other viral haemorrhagic fevers, not elsewhere classified",Certain infectious and parasitic diseases
87,A99,A99-Unspecified viral haemorrhagic fever,Certain infectious and parasitic diseases
88,B00,B00-Herpesviral [herpes simplex] infections,Certain infectious and parasitic diseases
89,B01,B01-Varicella [chickenpox],Certain infectious and parasitic diseases
90,B02,B02-Zoster [herpes zoster],Certain infectious and parasitic diseases
91,B03,B03-Smallpox,Certain infectious and parasitic diseases
92,B04,B04-Monkeypox,Certain infectious and parasitic diseases
93,B05,B05-Measles,Certain infectious and parasitic diseases
94,B06,B06-Rubella [German measles],Certain infectious and parasitic diseases
95,B07,B07-Viral warts,Certain infectious and parasitic diseases
96,B08,"B08-Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Certain infectious and parasitic diseases
97,B09,B09-Unspecified viral infection characterized by skin and mucous membrane lesions,Certain infectious and parasitic diseases
98,B15,B15-Acute hepatitis A,Certain infectious and parasitic diseases
99,B16,B16-Acute hepatitis B,Certain infectious and parasitic diseases
100,B17,B17-Other acute viral hepatitis,Certain infectious and parasitic diseases
101,B18,B18-Chronic viral hepatitis,Certain infectious and parasitic diseases
102,B19,B19-Unspecified viral hepatitis,Certain infectious and parasitic diseases
103,B20,B20-Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Certain infectious and parasitic diseases
104,B21,B21-Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Certain infectious and parasitic diseases
105,B22,B22-Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Certain infectious and parasitic diseases
