group,va_code,va_title,icd10_codes,icd11_codes,footnote,note
VAs-01 Infectious and parasitic diseases,VAs-01.01,Sepsis,A40-A41,1G40-1G41,,
VAs-01 Infectious and parasitic diseases,VAs-01.02,"Acute respiratory infection, including pneumonia",J00-J22; J85,CA00-CA07.1; CA40-CA43; CA45; CA4Z; 1E30-1E32,,
VAs-01 Infectious and parasitic diseases,VAs-01.03,HIV/AIDS related death,B20-B24,1C60-1C62,,
VAs-01 Infectious and parasitic diseases,VAs-01.04,Diarrheal diseases,A00-A09,1A00-1A40.Z,,
VAs-01 Infectious and parasitic diseases,VAs-01.05,Malaria,B50-B54,1F40-1F4Z,,
VAs-01 Infectious and parasitic diseases,VAs-01.06,Measles,B05,1F03,,
VAs-01 Infectious and parasitic diseases,VAs-01.07,Meningitis and encephalitis,A39; G00-G05,1B53-1B54; 1C1C; 1C80-1C8F; 1D00-1D02; 8B41,,
VAs-01 Infectious and parasitic diseases,VAs-01.08,Tetanus,A33-A35,1C13-1C14,a,
VAs-01 Infectious and parasitic diseases,VAs-01.09,Pulmonary tuberculosis,A15-A16,1B10,,
VAs-01 Infectious and parasitic diseases,VAs-01.10,Pertussis,A37,1C12,,
VAs-01 Infectious and parasitic diseases,VAs-01.11,Haemorrhagic fever,"A92-A96, A98-A99",1D40-1D4Z; 1D6Z; 1D60-1D6Z,b,
VAs-01 Infectious and parasitic diseases,VAs-01.12,Dengue fever,A97,1D20-1D2Z,,
VAs-01 Infectious and parasitic diseases,VAs-01.13,Coronavirus disease (COVID-19),U07.1; U07.2,RA01.0; RA01.1,,
VAs-01 Infectious and parasitic diseases,VAs-01.99,Unspecified infectious disease,A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99,1A60-1A9Z; 1B11-1B51; 1B5Y-1B9Z; 1C10-1C11.Y; 1C16-1C1B; 1C1D-1C62; 1C8Y-1C8Z; 1D03-1D0Z; 1D80-1E1Z; 1E50-1E91.Z; 1F00-1F02; 1F04-1F2Z; 1F50-1G2Z; 1G60-1H0Z; AA00-AA0Z; AA3Y-AA3Z; DB90; EA00-EA6Y; EE12; EG61; FA90-FA91; FB30; GA00-GA02; GA05; GA07; GB02; GC08,,
Non-communicable diseases,VAs-98,Other and unspecified non-communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G43-G47; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38; K40-K69; K70-K93 L00-L99; M00-M99; N00-N16; N20-N99,3A60; 3B10-3C0Z; 4A00-4B4Z; DB96; 5A00-5A0Z; 5A40-5B3Z; 5B55-5C3Z; 5C50-5C51; 5C52.Y-5C52-Z; 5C55; 5C56.0-5C56.3; 5C58; 5C5A; 5C61.6; 5C64; 5C70-5C77; 5C80-5D46; 6A20-6A8Z; 6B00-6E8Z; 7A00-7A6Z; 7A80-7A81; 7A83-7B2Z; 8A00-8A4Z; 8A80-8A8Z; 8B24; 8B40; 8B42-8D8Z; 8E00-8E2Z; 8E40-8E7Z; 9A01-9E1Z; AA10-AA1Z; AA40-AC0Z; CA08-CA0Z; CA24-CA2Z; CA60-CB7Z; DA00-DB7Z; DB91-DB92; DB96-DE2Z; EA80-EB9Y; EC90-ED00; ED02-ED9Y; EE01-EE11; EE13-EE20; EE40-EG60; EG62-EG9Z; EH40-EL50; EL60-EM0Z; FA00-FA8Z; FA92-FB1Z; FB31-FC0Z; GA03-GA04; GA06; GA0Z-GB01; GB03-GB5Z; GB70-GB80; GB8Y; GB90-GC07; GC0Y-GC8Z; HA00-HA8Z; MB43; MB50-MB5Z; MC10-MC20; MC2Y-MC6Y; ME82; ME84-ME85; ME93; MF3A; MF54; MF56; MF80-MF8Z,,Source note: This group covers all non-communicable conditions that could not be assigned to another category in this section. There is a separate category for cases where the cause of death is unknown.
VAs-02 Neoplasms,VAs-02.01,Oral neoplasms,C00-C06,2B60-2B66,,
VAs-02 Neoplasms,VAs-02.02,Digestive neoplasms,C15-C26,2B56.3; 2B70-2B72; 2B80-2B81; 2B90-2B9Y; 2C00-2C1Z,,
VAs-02 Neoplasms,VAs-02.03,Respiratory neoplasms,C30-C39,2C20-2C2Z,,
VAs-02 Neoplasms,VAs-02.04,Breast neoplasms,C50,2C60-2C6Z,,
VAs-02 Neoplasms,VAs-02.05,Female reproductive neoplasms,C51-C58,2C70-2C7Z,,
VAs-02 Neoplasms,VAs-02.06,Male reproductive neoplasms,C60-C63,2C80-2C8Z,,
VAs-02 Neoplasms,VAs-02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-D48; C91-C95,2A00-2A0Z; 2A20-2A90; 2B00-2B56.2; 2B56.Y-2B5Z; 2B67-2B6Y; 2C30-2C5Z; 2C90-2E6Z; 2E80-2F9Z,,
VAs-03 Nutritional and endocrine disorders,VAs-03.01,Severe anaemia,D50-D64,3A00-3A4.Z; 3A61-3A9Z,,
VAs-03 Nutritional and endocrine disorders,VAs-03.02,Severe malnutrition,E40-E46,5B50-5B54; 5B71-5B7Z,,
VAs-03 Nutritional and endocrine disorders,VAs-03.03,Diabetes mellitus,E10-E14,5A10-5A14,,
VAs-04 Diseases of the circulatory system,VAs-04.01,Acute cardiac disease,I11.0; I20-I26; I46.1; I46.9; I50.1,BA01; BA40-BA6Z; BB00; BD11; MC82,c,
VAs-04 Diseases of the circulatory system,VAs-04.02,Stroke,I60-I69,8B00-8B23; 8B25-8B2Z,,
VAs-04 Diseases of the circulatory system,VAs-04.03,Sickle cell with crisis,D57,3A51,,
VAs-04 Diseases of the circulatory system,VAs-04.99,Other and unspecified cardiac disease,I00-I10; I11.9-I15; I27-I46.0; I47-I50.0; I50.9-I52; I70-I99,BA00; BA02-BA2Z; BA50-BA5Z; BA81-BA8Z; BB01-BC91; BC9Y-BC9Z; BD10; BD12-BE2Z; 1B40-1B42,,
VAs-05 Respiratory disorders,VAs-05.01,Chronic obstructive pulmonary disease (COPD),J40-J44,CA20-CA22,,
VAs-05 Respiratory disorders,VAs-05.02,Asthma,J45-J46,CA23,,
VAs-06 Gastrointestinal disorders,VAs-06.01,Acute abdomen,R10,MD81,,
VAs-06 Gastrointestinal disorders,VAs-06.02,Liver cirrhosis,K70.2; K70.3; K71.7; K74,"DB93; DB94.2; DB94.3, DB95.5",d,
VAs-07 Renal disorders,VAs-07.01,Renal failure,N17-N19,GB60-GB6Z,,
VAs-08 Mental and nervous system disorders,VAs-08.01,Epilepsy,G40-G41,8A60-8A6Z,,
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.01,Ectopic pregnancy,O00,JA01,,
