code,node_code,decision,decided_on,note
5C52.Y-5C52.Z,vas_98,4,2026-09-24,"Annex token 5C52.Y-5C52-Z read as 5C52.Y-5C52.Z (range correction)"
5A20-5A2Y,vas_03_03,5a,2026-09-24,"Diabetic acute complications, in no annex range"
3A50-3A50.Z,vas_03_01,5a,2026-09-24,"Thalassaemias, in no annex range"
3A4Z,vas_03_01,5a,2026-09-24,"Haemolytic anaemias, unspecified, in no annex range"
DB94.10,vas_06_02,5a,2026-09-24,"Alcoholic hepatitis with cirrhosis"
DB94,vas_98,5a,2026-09-24,"Alcoholic liver disease without cirrhosis, as ICD-10 K70.0/K70.1"
DB94.0,vas_98,5a,2026-09-24,"Alcoholic liver disease without cirrhosis, as ICD-10 K70.0/K70.1"
DB94.1,vas_98,5a,2026-09-24,"Alcoholic liver disease without cirrhosis, as ICD-10 K70.0/K70.1"
DB94.1Y,vas_98,5a,2026-09-24,"Alcoholic liver disease without cirrhosis, as ICD-10 K70.0/K70.1"
DB94.1Z,vas_98,5a,2026-09-24,"Alcoholic liver disease without cirrhosis, as ICD-10 K70.0/K70.1"
DB94.Y,vas_98,5a,2026-09-24,"Alcoholic liver disease without cirrhosis, as ICD-10 K70.0/K70.1"
DB94.Z,vas_98,5a,2026-09-24,"Alcoholic liver disease without cirrhosis, as ICD-10 K70.0/K70.1"
1C8G-1C8G.Z,vas_01_07,5a,2026-09-24,"Tick-borne encephalitis, in no annex range"
1C8H,vas_01_07,5a,2026-09-24,"Viral myelitis, in no annex range"
RA01,vas_01_13,5a,2026-09-24,"COVID-19 parent code, in no annex range"
KD3B,vas_11_02,9,2026-09-24,"Fetal death with unknown timing -> Macerated stillbirth, as ICD-10 P95"
KD3B.Z,vas_11_02,9,2026-09-24,"Fetal death with unknown timing -> Macerated stillbirth, as ICD-10 P95"
DB99.7,vas_06_02,10,2026-09-24,"Mirrors ICD-10 K72 override (K72.9 -> DB99.7 in WHO 10To11)"
DB99.8,vas_06_02,10,2026-09-24,"Mirrors ICD-10 K72 override (K72.1 -> DB99.8 in WHO 10To11)"
DB97.2,vas_06_02,10,2026-09-24,"Mirrors ICD-10 K73 override (K73 -> DB97.2 in WHO 10To11)"
DB60-DB6Z,other_gastrointestinal_diseases,10,2026-09-24,"Mirrors ICD-10 K64 override (K64.x -> DB60-DB6Z in WHO 10To11)"
DB97.Z,other_gastrointestinal_diseases,10,2026-09-24,"Mirrors ICD-10 K75 override (K75 -> DB97.Z in WHO 10To11)"
DB9Z,other_gastrointestinal_diseases,10,2026-09-24,"Mirrors ICD-10 K76 override (K76 -> DB9Z in WHO 10To11)"
BA50-BA5Z,vas_04_01,10,2026-09-24,"Mirrors ICD-10 I25 override (I25.x -> BA5x in WHO 10To11)"
BD10,vas_04_01,10,2026-09-24,"Heart failure is Acute cardiac in both classifications (I50.0 -> BD10 in WHO 10To11)"
BD1Z,vas_04_01,10,2026-09-24,"Heart failure is Acute cardiac in both classifications (I50, I50.9 -> BD1Z in WHO 10To11)"
7A00-7B2Z,vas_99,10,2026-09-24,"Mirrors ICD-10 G47 override (sleep-wake disorders)"
MG26,vas_01_99,10,2026-09-24,"Mirrors ICD-10 R50 override (R50 -> MG26 in WHO 10To11)"
PA22-PA29,vas_12_01,17,2026-09-25,"WHO's ICD-10 traffic assumption for unspecified V10-V82/V87 applied by analogy to ICD-11 unknown-whether-traffic codes -> Road traffic. Supersedes decision 3 for these codes."
PA2E-PA2F,vas_12_01,17,2026-09-25,"WHO's ICD-10 traffic assumption for unspecified V10-V82/V87 applied by analogy to ICD-11 unknown-whether-traffic codes -> Road traffic. Supersedes decision 3 for these codes."
PA2Y-PA2Z,vas_12_01,17,2026-09-25,"WHO's ICD-10 traffic assumption for unspecified V10-V82/V87 applied by analogy to ICD-11 unknown-whether-traffic codes -> Road traffic. Supersedes decision 3 for these codes."
