parent_uri,parent_code,parent_title,child_index,child_uri,child_code,child_title
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,0,http://id.who.int/icd/release/10/2019/I,I,Certain infectious and parasitic diseases
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,1,http://id.who.int/icd/release/10/2019/II,II,Neoplasms
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,2,http://id.who.int/icd/release/10/2019/III,III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,3,http://id.who.int/icd/release/10/2019/IV,IV,"Endocrine, nutritional and metabolic diseases"
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,4,http://id.who.int/icd/release/10/2019/V,V,Mental and behavioural disorders
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,5,http://id.who.int/icd/release/10/2019/VI,VI,Diseases of the nervous system
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,6,http://id.who.int/icd/release/10/2019/VII,VII,Diseases of the eye and adnexa
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,7,http://id.who.int/icd/release/10/2019/VIII,VIII,Diseases of the ear and mastoid process
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,8,http://id.who.int/icd/release/10/2019/IX,IX,Diseases of the circulatory system
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,9,http://id.who.int/icd/release/10/2019/X,X,Diseases of the respiratory system
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,10,http://id.who.int/icd/release/10/2019/XI,XI,Diseases of the digestive system
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,11,http://id.who.int/icd/release/10/2019/XII,XII,Diseases of the skin and subcutaneous tissue
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,12,http://id.who.int/icd/release/10/2019/XIII,XIII,Diseases of the musculoskeletal system and connective tissue
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,13,http://id.who.int/icd/release/10/2019/XIV,XIV,Diseases of the genitourinary system
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,14,http://id.who.int/icd/release/10/2019/XV,XV,"Pregnancy, childbirth and the puerperium"
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,15,http://id.who.int/icd/release/10/2019/XVI,XVI,Certain conditions originating in the perinatal period
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,16,http://id.who.int/icd/release/10/2019/XVII,XVII,"Congenital malformations, deformations and chromosomal abnormalities"
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,17,http://id.who.int/icd/release/10/2019/XVIII,XVIII,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,18,http://id.who.int/icd/release/10/2019/XIX,XIX,"Injury, poisoning and certain other consequences of external causes"
