uri,code,title,class_kind,semantic_level,depth,is_leaf,is_three_character_code,is_terminal_code,chapter_code,chapter_title,block_code,block_title,three_character_code,three_character_title,final_code,final_title
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,,release,0,false,false,false,,,,,,,,
http://id.who.int/icd/release/10/2019/I,I,Certain infectious and parasitic diseases,chapter,chapter,1,false,false,false,I,Certain infectious and parasitic diseases,,,,,,
http://id.who.int/icd/release/10/2019/A00-A09,A00-A09,Intestinal infectious diseases,block,block,2,false,false,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,,,,
http://id.who.int/icd/release/10/2019/A00,A00,Cholera,category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera,,
http://id.who.int/icd/release/10/2019/A00.0,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
http://id.who.int/icd/release/10/2019/A00.1,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
http://id.who.int/icd/release/10/2019/A00.9,A00.9,"Cholera, unspecified",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera,A00.9,"Cholera, unspecified"
http://id.who.int/icd/release/10/2019/A01,A01,Typhoid and paratyphoid fevers,category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,,
http://id.who.int/icd/release/10/2019/A01.0,A01.0,Typhoid fever,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.0,Typhoid fever
http://id.who.int/icd/release/10/2019/A01.1,A01.1,Paratyphoid fever A,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.1,Paratyphoid fever A
http://id.who.int/icd/release/10/2019/A01.2,A01.2,Paratyphoid fever B,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.2,Paratyphoid fever B
http://id.who.int/icd/release/10/2019/A01.3,A01.3,Paratyphoid fever C,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.3,Paratyphoid fever C
http://id.who.int/icd/release/10/2019/A01.4,A01.4,"Paratyphoid fever, unspecified",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.4,"Paratyphoid fever, unspecified"
http://id.who.int/icd/release/10/2019/A02,A02,Other salmonella infections,category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,,
http://id.who.int/icd/release/10/2019/A02.0,A02.0,Salmonella enteritis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,A02.0,Salmonella enteritis
http://id.who.int/icd/release/10/2019/A02.1,A02.1,Salmonella sepsis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,A02.1,Salmonella sepsis
http://id.who.int/icd/release/10/2019/A02.2,A02.2,Localized salmonella infections,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,A02.2,Localized salmonella infections
http://id.who.int/icd/release/10/2019/A02.8,A02.8,Other specified salmonella infections,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,A02.8,Other specified salmonella infections
http://id.who.int/icd/release/10/2019/A02.9,A02.9,"Salmonella infection, unspecified",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,A02.9,"Salmonella infection, unspecified"
http://id.who.int/icd/release/10/2019/A03,A03,Shigellosis,category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,,
http://id.who.int/icd/release/10/2019/A03.0,A03.0,Shigellosis due to Shigella dysenteriae,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,A03.0,Shigellosis due to Shigella dysenteriae
http://id.who.int/icd/release/10/2019/A03.1,A03.1,Shigellosis due to Shigella flexneri,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,A03.1,Shigellosis due to Shigella flexneri
http://id.who.int/icd/release/10/2019/A03.2,A03.2,Shigellosis due to Shigella boydii,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,A03.2,Shigellosis due to Shigella boydii
http://id.who.int/icd/release/10/2019/A03.3,A03.3,Shigellosis due to Shigella sonnei,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,A03.3,Shigellosis due to Shigella sonnei
http://id.who.int/icd/release/10/2019/A03.8,A03.8,Other shigellosis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,A03.8,Other shigellosis
http://id.who.int/icd/release/10/2019/A03.9,A03.9,"Shigellosis, unspecified",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,A03.9,"Shigellosis, unspecified"
http://id.who.int/icd/release/10/2019/A04,A04,Other bacterial intestinal infections,category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,,
http://id.who.int/icd/release/10/2019/A04.0,A04.0,Enteropathogenic Escherichia coli infection,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.0,Enteropathogenic Escherichia coli infection
http://id.who.int/icd/release/10/2019/A04.1,A04.1,Enterotoxigenic Escherichia coli infection,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.1,Enterotoxigenic Escherichia coli infection
http://id.who.int/icd/release/10/2019/A04.2,A04.2,Enteroinvasive Escherichia coli infection,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.2,Enteroinvasive Escherichia coli infection
http://id.who.int/icd/release/10/2019/A04.3,A04.3,Enterohaemorrhagic Escherichia coli infection,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.3,Enterohaemorrhagic Escherichia coli infection
http://id.who.int/icd/release/10/2019/A04.4,A04.4,Other intestinal Escherichia coli infections,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.4,Other intestinal Escherichia coli infections
http://id.who.int/icd/release/10/2019/A04.5,A04.5,Campylobacter enteritis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.5,Campylobacter enteritis
http://id.who.int/icd/release/10/2019/A04.6,A04.6,Enteritis due to Yersinia enterocolitica,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.6,Enteritis due to Yersinia enterocolitica
http://id.who.int/icd/release/10/2019/A04.7,A04.7,Enterocolitis due to Clostridium difficile,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.7,Enterocolitis due to Clostridium difficile
http://id.who.int/icd/release/10/2019/A04.8,A04.8,Other specified bacterial intestinal infections,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.8,Other specified bacterial intestinal infections
http://id.who.int/icd/release/10/2019/A04.9,A04.9,"Bacterial intestinal infection, unspecified",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.9,"Bacterial intestinal infection, unspecified"
http://id.who.int/icd/release/10/2019/A05,A05,"Other bacterial foodborne intoxications, not elsewhere classified",category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",,
http://id.who.int/icd/release/10/2019/A05.0,A05.0,Foodborne staphylococcal intoxication,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.0,Foodborne staphylococcal intoxication
http://id.who.int/icd/release/10/2019/A05.1,A05.1,Botulism,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.1,Botulism
http://id.who.int/icd/release/10/2019/A05.2,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
http://id.who.int/icd/release/10/2019/A05.3,A05.3,Foodborne Vibrio parahaemolyticus intoxication,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.3,Foodborne Vibrio parahaemolyticus intoxication
http://id.who.int/icd/release/10/2019/A05.4,A05.4,Foodborne Bacillus cereus intoxication,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.4,Foodborne Bacillus cereus intoxication
http://id.who.int/icd/release/10/2019/A05.8,A05.8,Other specified bacterial foodborne intoxications,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.8,Other specified bacterial foodborne intoxications
http://id.who.int/icd/release/10/2019/A05.9,A05.9,"Bacterial foodborne intoxication, unspecified",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.9,"Bacterial foodborne intoxication, unspecified"
http://id.who.int/icd/release/10/2019/A06,A06,Amoebiasis,category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,,
http://id.who.int/icd/release/10/2019/A06.0,A06.0,Acute amoebic dysentery,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.0,Acute amoebic dysentery
http://id.who.int/icd/release/10/2019/A06.1,A06.1,Chronic intestinal amoebiasis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.1,Chronic intestinal amoebiasis
http://id.who.int/icd/release/10/2019/A06.2,A06.2,Amoebic nondysenteric colitis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.2,Amoebic nondysenteric colitis
http://id.who.int/icd/release/10/2019/A06.3,A06.3,Amoeboma of intestine,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.3,Amoeboma of intestine
http://id.who.int/icd/release/10/2019/A06.4,A06.4,Amoebic liver abscess,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.4,Amoebic liver abscess
http://id.who.int/icd/release/10/2019/A06.5,A06.5,Amoebic lung abscess,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.5,Amoebic lung abscess
http://id.who.int/icd/release/10/2019/A06.6,A06.6,Amoebic brain abscess,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.6,Amoebic brain abscess
http://id.who.int/icd/release/10/2019/A06.7,A06.7,Cutaneous amoebiasis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.7,Cutaneous amoebiasis
http://id.who.int/icd/release/10/2019/A06.8,A06.8,Amoebic infection of other sites,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.8,Amoebic infection of other sites
http://id.who.int/icd/release/10/2019/A06.9,A06.9,"Amoebiasis, unspecified",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.9,"Amoebiasis, unspecified"
http://id.who.int/icd/release/10/2019/A07,A07,Other protozoal intestinal diseases,category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,,
http://id.who.int/icd/release/10/2019/A07.0,A07.0,Balantidiasis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.0,Balantidiasis
http://id.who.int/icd/release/10/2019/A07.1,A07.1,Giardiasis [lambliasis],category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.1,Giardiasis [lambliasis]
http://id.who.int/icd/release/10/2019/A07.2,A07.2,Cryptosporidiosis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.2,Cryptosporidiosis
http://id.who.int/icd/release/10/2019/A07.3,A07.3,Isosporiasis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.3,Isosporiasis
http://id.who.int/icd/release/10/2019/A07.8,A07.8,Other specified protozoal intestinal diseases,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.8,Other specified protozoal intestinal diseases
http://id.who.int/icd/release/10/2019/A07.9,A07.9,"Protozoal intestinal disease, unspecified",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.9,"Protozoal intestinal disease, unspecified"
http://id.who.int/icd/release/10/2019/A08,A08,Viral and other specified intestinal infections,category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,,
http://id.who.int/icd/release/10/2019/A08.0,A08.0,Rotaviral enteritis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.0,Rotaviral enteritis
http://id.who.int/icd/release/10/2019/A08.1,A08.1,Acute gastroenteropathy due to Norovirus,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.1,Acute gastroenteropathy due to Norovirus
http://id.who.int/icd/release/10/2019/A08.2,A08.2,Adenoviral enteritis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.2,Adenoviral enteritis
http://id.who.int/icd/release/10/2019/A08.3,A08.3,Other viral enteritis,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.3,Other viral enteritis
http://id.who.int/icd/release/10/2019/A08.4,A08.4,"Viral intestinal infection, unspecified",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.4,"Viral intestinal infection, unspecified"
http://id.who.int/icd/release/10/2019/A08.5,A08.5,Other specified intestinal infections,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.5,Other specified intestinal infections
http://id.who.int/icd/release/10/2019/A09,A09,Other gastroenteritis and colitis of infectious and unspecified origin,category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,,
http://id.who.int/icd/release/10/2019/A09.0,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin
http://id.who.int/icd/release/10/2019/A09.9,A09.9,Gastroenteritis and colitis of unspecified origin,category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,A09.9,Gastroenteritis and colitis of unspecified origin
http://id.who.int/icd/release/10/2019/A15-A19,A15-A19,Tuberculosis,block,block,2,false,false,false,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,,,,
http://id.who.int/icd/release/10/2019/A15,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",category,three_character,3,false,true,false,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",,
http://id.who.int/icd/release/10/2019/A15.0,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
http://id.who.int/icd/release/10/2019/A15.1,A15.1,"Tuberculosis of lung, confirmed by culture only",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.1,"Tuberculosis of lung, confirmed by culture only"
http://id.who.int/icd/release/10/2019/A15.2,A15.2,"Tuberculosis of lung, confirmed histologically",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.2,"Tuberculosis of lung, confirmed histologically"
http://id.who.int/icd/release/10/2019/A15.3,A15.3,"Tuberculosis of lung, confirmed by unspecified means",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.3,"Tuberculosis of lung, confirmed by unspecified means"
http://id.who.int/icd/release/10/2019/A15.4,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
http://id.who.int/icd/release/10/2019/A15.5,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
http://id.who.int/icd/release/10/2019/A15.6,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",category,final_code,4,true,false,true,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
