code,title,node_type,semantic_level,parent_code,chapter_code,chapter_title,block_code,block_title,three_character_code,three_character_title,has_children,is_leaf,is_three_character_code,is_detailed_code,is_coding_selectable,sex_selectable,age_group_selectable,policy_status,restriction_note
I,Certain infectious and parasitic diseases,chapter,chapter,,I,Certain infectious and parasitic diseases,,,,,true,false,false,false,,,,unreviewed,
A00-A09,Intestinal infectious diseases,block,block,I,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,,,true,false,false,false,,,,unreviewed,
A00,Cholera,category,three_character,A00-A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera,true,false,true,false,,,,unreviewed,
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",category,detailed_code,A00,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera,false,true,false,true,,,,unreviewed,
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",category,detailed_code,A00,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera,false,true,false,true,,,,unreviewed,
A00.9,"Cholera, unspecified",category,detailed_code,A00,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera,false,true,false,true,,,,unreviewed,
A01,Typhoid and paratyphoid fevers,category,three_character,A00-A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,true,false,true,false,,,,unreviewed,
A01.0,Typhoid fever,category,detailed_code,A01,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,false,true,false,true,,,,unreviewed,
A01.1,Paratyphoid fever A,category,detailed_code,A01,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,false,true,false,true,,,,unreviewed,
A01.2,Paratyphoid fever B,category,detailed_code,A01,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,false,true,false,true,,,,unreviewed,
A01.3,Paratyphoid fever C,category,detailed_code,A01,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,false,true,false,true,,,,unreviewed,
A01.4,"Paratyphoid fever, unspecified",category,detailed_code,A01,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,false,true,false,true,,,,unreviewed,
A02,Other salmonella infections,category,three_character,A00-A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,true,false,true,false,,,,unreviewed,
A02.0,Salmonella enteritis,category,detailed_code,A02,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,false,true,false,true,,,,unreviewed,
A02.1,Salmonella sepsis,category,detailed_code,A02,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,false,true,false,true,,,,unreviewed,
A02.2,Localized salmonella infections,category,detailed_code,A02,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,false,true,false,true,,,,unreviewed,
A02.8,Other specified salmonella infections,category,detailed_code,A02,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,false,true,false,true,,,,unreviewed,
A02.9,"Salmonella infection, unspecified",category,detailed_code,A02,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections,false,true,false,true,,,,unreviewed,
A03,Shigellosis,category,three_character,A00-A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,true,false,true,false,,,,unreviewed,
A03.0,Shigellosis due to Shigella dysenteriae,category,detailed_code,A03,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,false,true,false,true,,,,unreviewed,
A03.1,Shigellosis due to Shigella flexneri,category,detailed_code,A03,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis,false,true,false,true,,,,unreviewed,
