code,title,chapter_no,selectable,sex,age,rule,restriction_rule,residual,leaf,flags
1A00,Cholera,01,yes,both,all,annex,icd10 A00 A00.9,no,yes,
1A01,Intestinal infection due to other Vibrio,01,yes,both,all,annex,default,no,yes,
1A02,Intestinal infections due to Shigella,01,yes,both,all,annex,icd10 A03 A03.9,no,yes,
1A03,Intestinal infections due to Escherichia coli,01,yes,both,all,annex,default,no,no,
1A03.0,Enteropathogenic Escherichia coli infection,01,yes,both,all,annex,icd10 A04.0,no,yes,
1A03.1,Enterotoxigenic Escherichia coli infection,01,yes,both,all,annex,icd10 A04.1,no,yes,
1A03.2,Enteroinvasive Escherichia coli infection,01,yes,both,all,annex,icd10 A04.2,no,yes,
1A03.3,Enterohaemorrhagic Escherichia coli infection,01,yes,both,all,annex,icd10 A04.3,no,yes,
1A03.Y,Intestinal infections due to other specified Escherichia coli,01,yes,both,all,annex,default,yes,yes,
1A03.Z,"Intestinal infections due to Escherichia coli, unspecified",01,yes,both,all,annex,icd10 A04.4,yes,yes,
1A04,Intestinal infections due to Clostridioides difficile,01,yes,both,all,annex,icd10 A04.7,no,yes,
1A05,Intestinal infections due to Yersinia enterocolitica,01,yes,both,all,annex,icd10 A04.6,no,yes,
1A06,Gastroenteritis due to Campylobacter,01,yes,both,all,annex,icd10 A04.5,no,yes,
1A07,Typhoid fever,01,yes,both,all,annex,default,no,no,
1A07.0,Typhoid peritonitis,01,yes,both,all,annex,default,no,yes,
1A07.Y,Other specified typhoid fever,01,yes,both,all,annex,default,yes,yes,
1A07.Z,"Typhoid fever, unspecified",01,yes,both,all,annex,icd10 A01.0,yes,yes,
1A08,Paratyphoid fever,01,yes,both,all,annex,icd10 A01.4,no,yes,
1A09,Infections due to other Salmonella,01,yes,both,all,annex,default,no,no,
1A09.0,Salmonella enteritis,01,yes,both,all,annex,icd10 A02.0,no,yes,
1A09.Y,Infections due to other Salmonella in other organs,01,yes,both,all,annex,default,yes,yes,
1A09.Z,"Salmonella infection, unspecified",01,yes,both,all,annex,icd10 A02 A02.1 A02.2 A02.8,yes,yes,
1A0Y,Other specified bacterial intestinal infections,01,yes,both,all,annex,default,yes,yes,
1A0Z,"Bacterial intestinal infections, unspecified",01,yes,both,all,annex,icd10 A04 A04.8 A04.9,yes,yes,
1A10,Foodborne staphylococcal intoxication,01,yes,both,all,annex,icd10 A05.0,no,yes,
1A11,Botulism,01,yes,both,all,annex,default,no,no,
1A11.0,Foodborne intoxication by botulinum toxin,01,yes,both,all,annex,default,no,yes,
1A11.1,Other forms of botulism,01,yes,both,all,annex,default,no,yes,
1A11.Z,"Botulism, unspecified",01,yes,both,all,annex,icd10 A05.1,yes,yes,
1A12,Foodborne Clostridium perfringens intoxication,01,yes,both,all,annex,icd10 A05.2,no,yes,
1A13,Foodborne Bacillus cereus intoxication,01,yes,both,all,annex,icd10 A05.4,no,yes,
1A1Y,Other specified bacterial foodborne intoxications,01,yes,both,all,annex,default,yes,yes,
1A1Z,"Bacterial foodborne intoxications, unspecified",01,yes,both,all,annex,icd10 A05 A05.3 A05.8 A05.9,yes,yes,
1A20,Enteritis due to Adenovirus,01,yes,both,all,annex,icd10 A08.2,no,yes,
1A21,Gastroenteritis due to Astrovirus,01,yes,both,all,annex,default,no,yes,
1A22,Gastroenteritis due to Rotavirus,01,yes,both,all,annex,icd10 A08.0,no,yes,
1A23,Enteritis due to Norovirus,01,yes,both,all,annex,icd10 A08.1,no,yes,
1A24,Intestinal infections due to Cytomegalovirus,01,yes,both,all,annex,default,no,yes,
1A2Y,Other specified viral intestinal infections,01,yes,both,all,annex,default,yes,yes,
1A2Z,"Viral intestinal infections, unspecified",01,yes,both,all,annex,icd10 A08 A08.3 A08.4 A08.5,yes,yes,
1A30,Infections due to Balantidium coli,01,yes,both,all,annex,icd10 A07.0,no,yes,
1A31,Giardiasis,01,yes,both,all,annex,icd10 A07.1,no,yes,
1A32,Cryptosporidiosis,01,yes,both,all,annex,icd10 A07.2,no,yes,
1A33,Cystoisosporiasis,01,yes,both,all,annex,default,no,no,
1A33.0,Cystoisosporiasis of small intestine,01,yes,both,all,annex,default,no,yes,
1A33.1,Cystoisosporiasis of colon,01,yes,both,all,annex,default,no,yes,
1A33.Y,Other specified cystoisosporiasis,01,yes,both,all,annex,default,yes,yes,
1A33.Z,"Cystoisosporiasis, unspecified",01,yes,both,all,annex,icd10 A07.3,yes,yes,
1A34,Sarcocystosis,01,yes,both,all,annex,default,no,yes,
1A35,Blastocystosis,01,yes,both,all,annex,default,no,yes,
1A36,Amoebiasis,01,yes,both,all,annex,default,no,no,
1A36.0,Intestinal infections due to Entamoeba,01,yes,both,all,annex,default,no,no,
1A36.00,Acute amoebiasis,01,yes,both,all,annex,icd10 A06.0,no,yes,
1A36.01,Amoeboma of intestine,01,yes,both,all,annex,icd10 A06.3,no,yes,
1A36.0Y,Other specified intestinal infections due to Entamoeba,01,yes,both,all,annex,icd10 A06.1 A06.2,yes,yes,
1A36.0Z,"Intestinal infections due to Entamoeba, unspecified",01,yes,both,all,annex,default,yes,yes,
1A36.1,Extraintestinal infections due to Entamoeba,01,yes,both,all,annex,default,no,no,
1A36.10,Amoebic liver abscess,01,yes,both,all,annex,icd10 A06.4,no,yes,
1A36.11,Amoebic lung abscess,01,yes,both,all,annex,icd10 A06.5,no,yes,
1A36.12,Cutaneous amoebiasis,01,yes,both,all,annex,icd10 A06.7,no,yes,
