icd_code,node_code,match_type,mapping_note
A80,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
A81,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
A82,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
A83,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
A84,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
A85,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
A86,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
A87,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
A88,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
A89,vas_01_07,owner_decision,"Owner decision 11 (2026-09-24): viral infections of the central nervous system go to Meningitis/encephalitis, matching ICD-11 1C80-1C8F (a DigitVA decision against WHO's ICD-10 column)"
V10.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V11.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V12.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V13.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V14.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V16.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V17.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V18.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V20.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V21.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
