review_type,code,title,va_code,token,detail,decision
range_past_end,,,VAs-01.99,1C10-1C11.Y,covers descendants after its end: 1C11.Z,owner decision 4
range_issue,,,VAs-98,5C52.Y-5C52-Z,"not a code or a two-ended range; skipped (corrected range, if any, is in the decisions file)",owner decision 4
range_issue,,,VAs-02.03,2C20-2C2Z,endpoint not in catalogue: 2C2Z; covers 73 codes lexically,owner decision 4
range_past_end,,,VAs-02.99,2B00-2B56.2,covers descendants after its end: 2B56.3 2B56.Y 2B56.Z,owner decision 4
range_issue,,,VAs-02.99,2B67-2B6Y,endpoint not in catalogue: 2B6Y; covers 40 codes lexically,owner decision 4
range_issue,,,VAs-02.99,2C30-2C5Z,endpoint not in catalogue: 2C5Z; covers 49 codes lexically,owner decision 4
range_issue,,,VAs-03.01,3A00-3A4.Z,endpoint not in catalogue: 3A4.Z; covers 70 codes lexically,owner decision 4
node_matched_by_label,,,VAs-09.0,,Ruptured uterus -> vas_09_08,
range_past_end,,,VAs-09.99,JB0A.2-JB0D.1,covers descendants after its end: JB0D.2 JB0D.3 JB0D.4 JB0D.5 JB0D.6 JB0D.7 JB0D.8 JB0D.Y,owner decision 4
pa_split,PA00,Unintentional land transport traffic event injuring a pedestrian,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA01,Unintentional land transport traffic event injuring the user of a pedestrian conveyance,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA02,Unintentional land transport traffic event injuring a pedal cyclist,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA03,Unintentional land transport traffic event injuring a motor cyclist,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA04,Unintentional land transport traffic event injuring a car occupant,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA05,Unintentional land transport traffic event injuring an occupant of a bus or coach,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA06,Unintentional land transport traffic event injuring an occupant of a light goods vehicle,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA07,Unintentional land transport traffic event injuring an occupant of a heavy goods vehicle,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA08,Unintentional land transport traffic event injuring an occupant of a streetcar or tram,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA09,Unintentional land transport traffic event injuring an occupant of a low powered passenger vehicle,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA0A,Unintentional land transport traffic event injuring a user of a special vehicle mainly used in agriculture,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA0B,Unintentional land transport traffic event injuring a user of a special vehicle mainly used on industrial premises,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA0C,Unintentional land transport traffic event injuring a user of a special construction vehicle,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA0D,Unintentional land transport traffic event injuring a user of an all-terrain vehicle,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA0E,Unintentional land transport traffic event injuring a rider of an animal,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA0F,Unintentional land transport traffic event injuring an occupant of an animal-drawn vehicle,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA0Y,Unintentional land transport traffic event injuring a user of other specified land transport,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA0Z,Unintentional land transport traffic event injuring a user of unspecified land transport,VAs-12.01,PA0x land transport traffic event,title fits,
pa_split,PA10,Unintentional land transport nontraffic event injuring a pedestrian,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
