code,title,reason,icd10_crosswalk,suggested_bucket
1C8G,Tick-borne encephalitis,no_range,A84.9,vas_01_99
1C8G.0,Far Eastern tick-borne encephalitis,no_range,A84.0,vas_01_99
1C8G.1,Central European tick-borne encephalitis,no_range,A84.1,vas_01_99
1C8G.2,Siberian tick-borne encephalitis,no_range,A84.9,vas_01_99
1C8G.Z,"Tick-borne encephalitis, unspecified",no_range,A84.9,vas_01_99
1C8H,"Viral myelitis, not elsewhere classified",no_range,A80-A89,vas_01_99
3A4Z,"Haemolytic anaemias, unspecified",no_range,D55-D59,multiple:vas_03_01|vas_04_03
3A50,Thalassaemias,no_range,D56,vas_03_01
3A50.0,Alpha thalassaemia,no_range,D56.0,vas_03_01
3A50.00,Mild alpha thalassaemia diseases,no_range,D56.3,vas_03_01
3A50.01,Thalassaemic alpha-chain variants,no_range,D56.0,vas_03_01
3A50.02,Haemoglobin H disease (– α/– – included),no_range,D56.0,vas_03_01
3A50.03,Hemoglobin Bart's fetalis syndrome,no_range,D56.0,vas_03_01
3A50.0Y,Other specified alpha thalassaemia,no_range,D56.0,vas_03_01
3A50.0Z,"Alpha thalassaemia, unspecified",no_range,D56.0,vas_03_01
3A50.1,Alpha thalassaemia related syndromes,no_range,D56,vas_03_01
3A50.2,Beta thalassaemia,no_range,D56.1,vas_03_01
3A50.3,"Delta, delta-beta or gamma-delta-beta thalassaemia",no_range,D56.2,vas_03_01
3A50.4,Hereditary persistence of fetal haemoglobin,no_range,D56.4,vas_03_01
3A50.Y,Other specified thalassaemias,no_range,D56.8,vas_03_01
3A50.Z,"Thalassaemias, unspecified",no_range,D56,vas_03_01
5A20,Diabetic hyperosmolar hyperglycaemic state,no_range,E10-E14,vas_03_03
5A20.0,Hyperosmolar hyperglycaemic state without coma,no_range,E10-E14,vas_03_03
5A20.1,Hyperosmolar hyperglycaemic state with coma,no_range,E10-E14,vas_03_03
5A20.Z,"Diabetic hyperosmolar hyperglycaemic state, unspecified",no_range,E10-E14,vas_03_03
5A21,Hypoglycaemia in the context of diabetes mellitus,no_range,E10-E14,vas_03_03
5A21.0,Hypoglycaemia in the context of diabetes mellitus without coma,no_range,E10-E14,vas_03_03
5A21.1,Hypoglycaemia in the context of diabetes mellitus with coma,no_range,E10-E14,vas_03_03
5A21.Z,"Hypoglycaemia in the context of diabetes, unspecified",no_range,E10-E14,vas_03_03
5A22,Diabetic acidosis,no_range,E14.1,vas_03_03
5A22.0,Diabetic ketoacidosis without coma,no_range,E14.1,vas_03_03
5A22.1,Diabetic lactic acidosis,no_range,E14.1,vas_03_03
5A22.2,Diabetic metabolic acidosis,no_range,E14.1,vas_03_03
5A22.3,Diabetic ketoacidosis with coma,no_range,E10-E14,vas_03_03
5A22.Y,Other specified diabetic acidosis,no_range,E14.1,vas_03_03
5A22.Z,"Diabetic acidosis, unspecified",no_range,E14.1,vas_03_03
5A23,Diabetic coma,no_range,E10-E14,vas_03_03
5A24,Uncontrolled or unstable diabetes mellitus,no_range,E10-E14,vas_03_03
5A2Y,Other specified acute complications of diabetes mellitus,no_range,E10-E14,vas_03_03
5C52,Inborn errors of lipid metabolism,no_range,E75,vas_98
5C52.0,Inborn errors of fatty acid oxidation or ketone body metabolism,no_range,E71.3,vas_98
5C52.00,Disorders of carnitine transport or the carnitine cycle,no_range,E71.3,vas_98
5C52.01,Disorders of mitochondrial fatty acid oxidation,no_range,E71.3,vas_98
5C52.02,Disorders of ketone body metabolism,no_range,E71.3,vas_98
5C52.03,Sjögren-Larsson syndrome,no_range,E71.3,vas_98
5C52.0Y,Other specified inborn errors of fatty acid oxidation or ketone body metabolism,no_range,E71.3,vas_98
5C52.0Z,"Inborn errors of fatty acid oxidation or ketone body metabolism, unspecified",no_range,E71.3,vas_98
5C52.1,Inborn errors of sterol metabolism,no_range,E75,vas_98
5C52.10,Disorders of cholesterol synthesis,no_range,E75,vas_98
5C52.11,Bile acid synthesis defect with cholestasis,no_range,E75,vas_98
5C52.1Y,Other specified inborn errors of sterol metabolism,no_range,E75,vas_98
5C52.1Z,"Inborn errors of sterol metabolism, unspecified",no_range,E75,vas_98
5C52.2,Neutral lipid storage disease,no_range,E75,vas_98
5C52.Y,Other specified inborn errors of lipid metabolism,no_range,E75,vas_98
5C52.Z,"Inborn errors of lipid metabolism, unspecified",no_range,E75,vas_98
5C53,Inborn errors of energy metabolism,no_range,E88.9,vas_98
5C53.0,Disorders of pyruvate metabolism,no_range,E74.4,vas_98
5C53.00,Pyruvate kinase deficiency,no_range,E74.4,vas_98
5C53.01,Lactate dehydrogenase deficiency,no_range,E74.4,vas_98
5C53.02,Pyruvate dehydrogenase complex deficiency,no_range,E74.4,vas_98
5C53.03,Pyruvate carboxylase deficiency,no_range,E74.4,vas_98
5C53.0Y,Other specified disorders of pyruvate metabolism,no_range,E74.4,vas_98
5C53.0Z,"Disorders of pyruvate metabolism, unspecified",no_range,E74.4,vas_98
5C53.1,Disorders of the citric acid cycle,no_range,E88.8,vas_98
5C53.2,Disorders of mitochondrial oxidative phosphorylation,no_range,E88.8,vas_98
5C53.20,Mitochondrial DNA depletion syndromes,no_range,E88.8,vas_98
5C53.21,Multiple mitochondrial DNA deletion syndromes,no_range,E88.8,vas_98
5C53.22,Coenzyme Q10 deficiency,no_range,E88.8,vas_98
5C53.23,Mitochondrial protein translation defects,no_range,E88.8,vas_98
5C53.24,Leigh syndrome,no_range,G31.8,vas_98
5C53.25,Isolated ATP synthase deficiency,no_range,E88.8,vas_98
5C53.2Y,Other specified disorders of mitochondrial oxidative phosphorylation,no_range,E88.8,vas_98
5C53.2Z,"Disorders of mitochondrial oxidative phosphorylation, unspecified",no_range,E88.8,vas_98
5C53.3,Disorders of mitochondrial membrane transport,no_range,E88.8,vas_98
5C53.30,Mitochondrial substrate carrier disorders,no_range,E88.8,vas_98
5C53.31,Mitochondrial protein import disorders,no_range,E88.8,vas_98
5C53.3Y,Other specified disorders of mitochondrial membrane transport,no_range,E88.8,vas_98
5C53.3Z,"Disorders of mitochondrial membrane transport, unspecified",no_range,E88.8,vas_98
5C53.4,Disorders of creatine metabolism,no_range,E72.8,vas_98
5C53.Y,Other specified inborn errors of energy metabolism,no_range,E88.9,vas_98
5C53.Z,"Inborn errors of energy metabolism, unspecified",no_range,E88.9,vas_98
5C54,Inborn errors of glycosylation or other specified protein modification,no_range,E88.9,vas_98
5C54.0,Disorders of protein N-glycosylation,no_range,E77.8,vas_98
5C54.1,Disorders of protein O-glycosylation,no_range,E77.8,vas_98
5C54.2,Disorders of multiple glycosylation or other pathways,no_range,E77.8,vas_98
5C54.Y,Other specified inborn errors of glycosylation or other specified protein modification,no_range,E88.9,vas_98
5C54.Z,"Inborn errors of glycosylation or protein modification, unspecified",no_range,E88.9,vas_98
5C56,Lysosomal diseases,no_range,E88.9,vas_98
5C56.4,Disorders of sialic acid metabolism,no_range,E77.1,vas_98
5C56.Y,Other specified lysosomal diseases,no_range,E88.9,vas_98
5C56.Z,"Lysosomal diseases, unspecified",no_range,E88.9,vas_98
5C57,Peroxisomal diseases,no_range,E88.9,vas_98
5C57.0,Disorders of peroxisome biogenesis,no_range,Q87.8,vas_10_06
5C57.1,"Disorders of peroxisomal alpha-, beta- or omega-oxidation",no_range,Q87.8,vas_10_06
5C57.Y,Other specified peroxisomal diseases,no_range,E88.9,vas_98
5C57.Z,"Peroxisomal diseases, unspecified",no_range,E88.9,vas_98
5C59,Inborn errors of neurotransmitter metabolism,no_range,E88.8,vas_98
5C59.0,Disorders of biogenic amine metabolism,no_range,E88.8,vas_98
5C59.00,Disorders of catecholamine synthesis,no_range,E88.8,vas_98
5C59.01,Disorders of pterin metabolism,no_range,E88.8,vas_98
5C59.0Y,Other specified disorders of biogenic amine metabolism,no_range,E88.8,vas_98
