term,term_normalized,icd_classification,icd_code,source,note,sort_order
CVA,cva,icd10,I64,seed_used_cod,clinician shorthand for I64,
CVA,cva,icd11,8B20,seed_used_cod,clinician shorthand for 8B20,
cerebrovascular accident,cerebrovascular accident,icd10,I64,seed_used_cod,clinician shorthand for I64,
cerebrovascular accident,cerebrovascular accident,icd11,8B20,seed_used_cod,clinician shorthand for 8B20,
brain attack,brain attack,icd10,I64,seed_used_cod,clinician shorthand for I64,
brain attack,brain attack,icd11,8B20,seed_used_cod,clinician shorthand for 8B20,
paralysis,paralysis,icd10,I64,seed_used_cod,clinician shorthand for I64,
paralysis,paralysis,icd11,8B20,seed_used_cod,clinician shorthand for 8B20,
MI,mi,icd10,I21,seed_used_cod,clinician shorthand for I21,
MI,mi,icd11,BA41,seed_used_cod,clinician shorthand for BA41,
AMI,ami,icd10,I21,seed_used_cod,clinician shorthand for I21,
AMI,ami,icd11,BA41,seed_used_cod,clinician shorthand for BA41,
acute MI,acute mi,icd10,I21,seed_used_cod,clinician shorthand for I21,
acute MI,acute mi,icd11,BA41,seed_used_cod,clinician shorthand for BA41,
heart attack,heart attack,icd10,I21,seed_used_cod,clinician shorthand for I21,
heart attack,heart attack,icd11,BA41,seed_used_cod,clinician shorthand for BA41,
ACS,acs,icd10,I24,seed_used_cod,clinician shorthand for I24,
ACS,acs,icd11,BA4Z,seed_used_cod,clinician shorthand for BA4Z,
acute coronary syndrome,acute coronary syndrome,icd10,I24,seed_used_cod,clinician shorthand for I24,
acute coronary syndrome,acute coronary syndrome,icd11,BA4Z,seed_used_cod,clinician shorthand for BA4Z,
IHD,ihd,icd10,I25,seed_used_cod,clinician shorthand for I25,
IHD,ihd,icd11,BA5Z,seed_used_cod,clinician shorthand for BA5Z,
CAD,cad,icd10,I25,seed_used_cod,clinician shorthand for I25,
CAD,cad,icd11,BA5Z,seed_used_cod,clinician shorthand for BA5Z,
coronary artery disease,coronary artery disease,icd10,I25,seed_used_cod,clinician shorthand for I25,
coronary artery disease,coronary artery disease,icd11,BA5Z,seed_used_cod,clinician shorthand for BA5Z,
coronary heart disease,coronary heart disease,icd10,I25,seed_used_cod,clinician shorthand for I25,
coronary heart disease,coronary heart disease,icd11,BA5Z,seed_used_cod,clinician shorthand for BA5Z,
CCF,ccf,icd11,BD10,seed_used_cod,clinician shorthand for BD10,
CHF,chf,icd11,BD10,seed_used_cod,clinician shorthand for BD10,
congestive cardiac failure,congestive cardiac failure,icd11,BD10,seed_used_cod,clinician shorthand for BD10,
congestive heart failure,congestive heart failure,icd11,BD10,seed_used_cod,clinician shorthand for BD10,
heart failure,heart failure,icd11,BD1Z,seed_used_cod,clinician shorthand for BD1Z,
cardiac failure,cardiac failure,icd11,BD1Z,seed_used_cod,clinician shorthand for BD1Z,
HHD,hhd,icd11,BA01,seed_used_cod,clinician shorthand for BA01,
CKD,ckd,icd10,N18,seed_used_cod,clinician shorthand for N18,
CKD,ckd,icd11,GB61,seed_used_cod,clinician shorthand for GB61,
CRF,crf,icd10,N18,seed_used_cod,clinician shorthand for N18,
CRF,crf,icd11,GB61,seed_used_cod,clinician shorthand for GB61,
chronic renal failure,chronic renal failure,icd10,N18,seed_used_cod,clinician shorthand for N18,
chronic renal failure,chronic renal failure,icd11,GB61,seed_used_cod,clinician shorthand for GB61,
ESRD,esrd,icd10,N18,seed_used_cod,clinician shorthand for N18,
ESRD,esrd,icd11,GB61,seed_used_cod,clinician shorthand for GB61,
end stage renal disease,end stage renal disease,icd10,N18,seed_used_cod,clinician shorthand for N18,
end stage renal disease,end stage renal disease,icd11,GB61,seed_used_cod,clinician shorthand for GB61,
AKI,aki,icd10,N17,seed_used_cod,clinician shorthand for N17,
AKI,aki,icd11,GB60,seed_used_cod,clinician shorthand for GB60,
ARF,arf,icd10,N17,seed_used_cod,clinician shorthand for N17,
ARF,arf,icd11,GB60,seed_used_cod,clinician shorthand for GB60,
renal failure,renal failure,icd10,N19,seed_used_cod,clinician shorthand for N19,
renal failure,renal failure,icd11,GB6Z,seed_used_cod,clinician shorthand for GB6Z,
DM,dm,icd10,E14,seed_used_cod,clinician shorthand for E14,
DM,dm,icd11,5A14,seed_used_cod,clinician shorthand for 5A14,
diabetes,diabetes,icd10,E14,seed_used_cod,clinician shorthand for E14,
diabetes,diabetes,icd11,5A14,seed_used_cod,clinician shorthand for 5A14,
sugar disease,sugar disease,icd10,E14,seed_used_cod,clinician shorthand for E14,
sugar disease,sugar disease,icd11,5A14,seed_used_cod,clinician shorthand for 5A14,
high sugar,high sugar,icd10,E14,seed_used_cod,clinician shorthand for E14,
high sugar,high sugar,icd11,5A14,seed_used_cod,clinician shorthand for 5A14,
madhumeh,madhumeh,icd10,E14,seed_used_cod,clinician shorthand for E14,
