scheme_code,age_scope,icd_code,node_code,match_type,source_category,source_row_number,mapping_note
WHO_2022_VA_2026,"",1A00,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A01,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A02,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A03,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A03.0,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A03.1,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A03.2,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A03.3,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A03.Y,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A03.Z,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A04,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A05,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A06,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A07,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A07.0,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A07.Y,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A07.Z,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A08,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A09,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A09.0,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A09.Y,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A09.Z,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A0Y,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A0Z,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A10,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A11,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A11.0,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A11.1,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A11.Z,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A12,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A13,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A1Y,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A1Z,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A20,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A21,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A22,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A23,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A24,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A2Y,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A2Z,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A30,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A31,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A32,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
WHO_2022_VA_2026,"",1A33,vas_01_04,range,VAs-01.04,5,ICD-11 2026-01 range 1A00-1A40.Z
